2023-11-12 23:03:46.345 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@a503556, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6bb1468e, org.springframework.security.web.context.SecurityContextHolderFilter@3234c2ec, org.springframework.security.web.header.HeaderWriterFilter@539cce97, org.springframework.security.web.authentication.logout.LogoutFilter@5a9772e0, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@78c751a8, com.hp.blogserver.security.filter.LoginAuthenticationFilter@689e2be7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@15c380a5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7bfd7be4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@63ef5927, org.springframework.security.web.access.ExceptionTranslationFilter@1b9ea9d0, org.springframework.security.web.access.intercept.AuthorizationFilter@436a646b]
2023-11-12 23:03:46.436 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-11-12 23:03:46.449 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-11-12 23:03:46.451 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-12 23:03:46.456 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Started BlogServerApplication in 1.078 seconds (process running for 1240.031)
2023-11-12 23:03:46.458 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2023-11-12 23:08:34.933 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-11-12 23:08:34.944 [Thread-7] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2023-11-12 23:08:34.944 [Thread-7] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-11-12 23:08:34.946 [Thread-7] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2023-11-12 23:08:34.947 [Thread-7] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
2023-11-12 23:08:35.017 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Starting BlogServerApplication using Java 17.0.9 with PID 32636 (C:\Users\20126\Desktop\blog\blog-server\target\classes started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 23:08:35.017 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - The following 1 profile is active: "dev"
2023-11-12 23:08:35.313 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-11-12 23:08:35.313 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-12 23:08:35.314 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-11-12 23:08:35.314 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-11-12 23:08:35.330 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-12 23:08:35.330 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 312 ms
2023-11-12 23:08:35.891 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 23:08:35.904 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@368c5aac, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7c59ed5d, org.springframework.security.web.context.SecurityContextHolderFilter@5d1d6e74, org.springframework.security.web.header.HeaderWriterFilter@808cf8d, org.springframework.security.web.authentication.logout.LogoutFilter@34efce1e, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@bc80761, com.hp.blogserver.security.filter.LoginAuthenticationFilter@2fb35cd3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@192065d2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4c0da459, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7b3e3ab3, org.springframework.security.web.access.ExceptionTranslationFilter@11688205, org.springframework.security.web.access.intercept.AuthorizationFilter@ff5655e]
2023-11-12 23:08:36.005 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-11-12 23:08:36.018 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-11-12 23:08:36.020 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-12 23:08:36.026 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Started BlogServerApplication in 1.041 seconds (process running for 1529.6)
2023-11-12 23:08:36.027 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2023-11-12 23:08:44.457 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-12 23:08:44.482 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Starting BlogServerApplication using Java 17.0.9 with PID 2736 (C:\Users\20126\Desktop\blog\blog-server\target\classes started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 23:08:44.483 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - The following 1 profile is active: "dev"
2023-11-12 23:08:44.511 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\20126\.m2\repository\xalan\xalan\2.7.2\xalan-2.7.2.jar referenced one or more files that do not exist: file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/xercesImpl.jar,file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/xml-apis.jar,file:/C:/Users/20126/.m2/repository/xalan/xalan/2.7.2/serializer.jar
2023-11-12 23:08:44.512 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\20126\.m2\repository\xalan\serializer\2.7.2\serializer-2.7.2.jar referenced one or more files that do not exist: file:/C:/Users/20126/.m2/repository/xalan/serializer/2.7.2/xml-apis.jar
2023-11-12 23:08:44.512 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-12 23:08:44.512 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-12 23:08:45.598 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-11-12 23:08:45.604 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-12 23:08:45.605 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-11-12 23:08:45.605 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-11-12 23:08:45.651 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-12 23:08:45.652 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1139 ms
2023-11-12 23:08:46.849 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 23:08:46.880 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6503a586, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a0120cc, org.springframework.security.web.context.SecurityContextHolderFilter@6a483bad, org.springframework.security.web.header.HeaderWriterFilter@156292c9, org.springframework.security.web.authentication.logout.LogoutFilter@66c40239, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@34b3f0ed, com.hp.blogserver.security.filter.LoginAuthenticationFilter@600eda1e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@635129c7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1f03baf5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@18597c0c, org.springframework.security.web.access.ExceptionTranslationFilter@64a1964b, org.springframework.security.web.access.intercept.AuthorizationFilter@3fe42908]
2023-11-12 23:08:47.114 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-11-12 23:08:47.148 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-11-12 23:08:47.161 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-12 23:08:47.173 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Started BlogServerApplication in 3.014 seconds (process running for 3.564)
2023-11-12 23:09:44.161 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-11-12 23:09:44.178 [Thread-5] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2023-11-12 23:09:44.178 [Thread-5] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-11-12 23:09:44.181 [Thread-5] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2023-11-12 23:09:44.183 [Thread-5] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
2023-11-12 23:09:44.255 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Starting BlogServerApplication using Java 17.0.9 with PID 2736 (C:\Users\20126\Desktop\blog\blog-server\target\classes started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 23:09:44.255 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - The following 1 profile is active: "dev"
