2023-11-12 20:13:17.751 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-11-12 20:13:17.795 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-12 20:13:17.796 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1359 ms
2023-11-12 20:13:19.041 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 20:13:19.075 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6550104, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5e965c0, org.springframework.security.web.context.SecurityContextHolderFilter@449870f9, org.springframework.security.web.header.HeaderWriterFilter@4eae6392, org.springframework.security.web.authentication.logout.LogoutFilter@cfed690, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@35fbf33e, com.hp.blogserver.security.filter.LoginAuthenticationFilter@5ed5536f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@389a2aa8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@76ee0d3e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70263490, org.springframework.security.web.access.ExceptionTranslationFilter@5607e0fc, org.springframework.security.web.access.intercept.AuthorizationFilter@1cc59ce7]
2023-11-12 20:13:19.307 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-11-12 20:13:19.338 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-11-12 20:13:19.351 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-12 20:13:19.361 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Started BlogServerApplication in 3.322 seconds (process running for 3.838)
2023-11-12 20:15:04.377 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-12 20:15:04.404 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - Starting BlogServerApplicationTests using Java 17.0.9 with PID 28952 (started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 20:15:04.404 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - The following 1 profile is active: "prod"
2023-11-12 20:15:08.130 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@26f204a4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@28295554, org.springframework.security.web.context.SecurityContextHolderFilter@5f9ebd5a, org.springframework.security.web.header.HeaderWriterFilter@e18d2a2, org.springframework.security.web.authentication.logout.LogoutFilter@649009d6, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@4e671ef, com.hp.blogserver.security.filter.LoginAuthenticationFilter@42403dc6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2db3675a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64508788, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@74a1d60e, org.springframework.security.web.access.ExceptionTranslationFilter@795eddda, org.springframework.security.web.access.intercept.AuthorizationFilter@df432ec]
2023-11-12 20:15:10.410 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 20:15:10.528 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - Started BlogServerApplicationTests in 6.463 seconds (process running for 7.23)
2023-11-12 20:15:11.650 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.DeptMapperTest]: DeptMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:15:11.657 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.DeptMapperTest
2023-11-12 20:15:11.709 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-11-12 20:15:12.026 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2052c49f
2023-11-12 20:15:12.033 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-11-12 20:15:12.092 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.MenuMapperTest]: MenuMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
